13232,ΠΕΤΡΟΥΠΟΛΗ,38.0379734,23.6928868,55,13232
13341,ΑΝΩ ΛΙΟΣΙΑ,38.0807098,23.706755,56,13341
13342,ΜΕΝΙΔΙ,38.0737425,23.7048175,57,13342
13451,ΖΕΦΥΡΙ,38.0708633,23.7082439,58,13451
14121,ΗΡΑΚΛΕΙΟ ΝΕΑ ΗΡΑΚΛΕΙΟ,38.0472708,23.7714547,59,14121
14122,ΗΡΑΚΛΕΙΟ,38.0511604,23.7680577,60,14122
14123,ΜΕΤΑΜΟΡΦΩΣΗ ΛΥΚΟΒΡΥΣ,38.0673903,23.7813182,61,14123
14231,ΝΕΑ ΙΩΝΙΑ ΙΩΝΙΑ,38.0441541,23.7501561,62,14231
14234,ΝΕΑ ΙΩΝΙΑ ΕΛΕΥΘΕΡΟΥΠΟΛ,38.0410095,23.7578668,63,14234
14235,ΝΕΑ ΙΩΝΙΑ ΚΑΛΟΓΡΕΖΑ,38.0350363,23.7759925,64,14235
14341,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.033916,23.737403,65,14341
14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0452058,23.7422429,66,14342
14343,ΝΕΑ ΧΑΛΚΗΔΟΝΑ,38.0293616,23.7329608,67,14343
14451,ΜΕΤΑΜΟΡΦΩΣΗ,38.0556442,23.7583685,68,14451
14452,ΜΕΤΑΜΟΡΦΩΣΗ,38.0622969,23.7599103,69,14452
14561,ΣΤΑΘΜΟΣ ΗΣΑΠ ΚΗΦΙΣΙΑ,38.0739486,23.8060457,70,14561
14562,ΚΗΦΙΣΙΑ,38.0722402,23.8139199,71,14562
14564,ΚΗΦΙΣΙΑ ΝΕΑ ΚΗΦΗΣΙΑ,38.0956293,23.7913435,72,14564
14569,ΑΝΟΙΞΗ,38.1317568,23.8603199,73,14569
14572,ΔΡΟΣΙΑ,38.119756,23.8661305,74,14572
14574,ΡΟΔΟΠΟΛΗ,38.1167583,23.8760815,75,14574
14576,ΔΙΟΝΥΣΟΣ,38.0987438,23.8790184,76,14576
14578,ΕΚΑΛΗ,38.1008771,23.8350796,77,14578
14671,ΝΕΑ ΕΡΥΘΡΑΙΑ,38.0926493,23.8200477,78,14671
15122,ΜΑΡΟΥΣΙ ΑΜΑΛΙΕΙΟ ΟΡΦ,38.0549562,23.807655,79,15122
15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0314264,23.7853852,80,15123
15124,ΜΑΡΟΥΣΙ,38.0512581,23.8021097,81,15124
15125,ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ,38.0453,23.8203025,82,15125
15127,ΜΕΛΙΣΣΙΑ,38.0572295,23.8336016,83,15127
15231,ΧΑΛΑΝΔΡΙ ΑΓΙΑ ΒΑΡΒΑΡΑ,38.0137595,23.7854066,84,15231
15232,ΧΑΛΑΝΔΡΙ,38.020741,23.7959223,85,15232
15233,ΧΑΛΑΝΔΡΙ,38.024942,23.79748,86,15233
15234,ΧΑΛΑΝΔΡΙ,38.0265707,23.8198045,87,15234
15235,ΒΡΙΛΗΣΣΙΑ,38.0329785,23.831904,88,15235
15236,ΠΕΝΤΕΛΗ ΝΕΑ ΠΕΝΤΕΛΗΟΡ,38.0606091,23.8590907,89,15236
15237,ΦΙΛΟΘΕΗ,38.0250988,23.7791452,90,15237
15341,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΝΕΑ ΖΩΗ,38.0090444,23.8200341,91,15341
15342,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΑΓΙΑΝΝΗ,38.0077479,23.8252029,92,15342
15343,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΠΕΥΚΑΚΙ,38.0210263,23.8430443,93,15343
15344,ΑΝΘΟΥΣΑ,38.0230869,23.8724272,94,15344
15351,ΠΑΛΛΗΝΗ,38.0035103,23.8835158,95,15351
15354,ΓΛΥΚΑ ΝΕΡΑ,37.993481,23.848306,96,15354
15451,ΝΕΑ ΨΥΧΙΚΟ,38.0049076,23.7785742,97,15451
15452,ΨΥΧΙΚΟ ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,38.0114368,23.7770979,98,15452
15561,ΧΟΛΑΡΓΟΣ ΝΑΟΣ ΦΑΝΕΡΩ,38.0026476,23.7986048,99,15561
15562,ΧΟΛΑΡΓΟΣ ΠΛΑΤΕΙΑ ΕΘ ΝΕΑ ΑΝΤΙ,38.0026476,23.7986048,100,15562
15669,ΠΑΠΑΓΟΥ,37.9885749,23.7965135,101,15669
15771,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9743287,23.7736717,102,15771
15772,ΖΩΓΡΑΦΟΥ ΑΝΩ ΙΛΙΣΙΑ,37.9743287,23.7736717,103,15772
15773,ΖΩΓΡΑΦΟΥ ΓΟΥΔΙ,37.9807643,23.7708378,104,15773
16121,ΚΑΙΣΑΡΙΑΝΗ ΓΗΠΕΔΑ ΝΗΑΡ ΗΣΤ,37.966955,23.7594267,105,16121
16231,ΒΥΡΩΝ ΝΕΑ ΕΛΒΕΤΙΑ,37.9573636,23.7582564,106,16231
16232,ΒΥΡΩΝΑΣ,37.9617869,23.7513958,107,16232
16233,ΒΥΡΩΝ ΖΩΟΔΟΧΟΣ ΠΗΓΗ,37.9543661,23.7605118,108,16233
16341,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9336901,23.7380213,109,16341
16346,ΗΛΙΟΥΠΟΛΗ ΚΑΤΩ ΗΛΙΟΥΠΟΛΗ,37.9336901,23.7380213,110,16346
16671,ΒΟΥΛΙΑΓΜΕΝΗ  ΜΙΚΡΟ ΚΑΒΟΥΡΙ,37.8190772,23.7597759,111,16671
16672,ΒΑΡΗ,37.8334351,23.802873,112,16672
17121,ΝΕΑ ΣΜΥΡΝΗ ΓΗΠ.ΠΑΝΙΩΝΙ,37.9442881,23.7117556,113,17121
17122,ΝΕΑ ΣΜΥΡΝΗ,37.9407215,23.7104113,114,17122
17123,ΝΕΑ ΣΜΥΡΝΗ ΠΛΑΤΕΙΑ ΗΡ.ΚΥΠΡΟ,37.9377309,23.7162886,115,17123
17124,ΝΕΑ ΣΜΥΡΝΗ ΑΝΩ ΝΕΑ ΣΜΥΡΝ,37.967477,23.6947674,116,17124
17234,ΔΑΦΝΗ Α.ΔΑΦΝΗ,37.9766976,23.7838284,117,17234
17235,ΔΑΦΝΗ,37.9505331,23.7347983,118,17235
17236,ΥΜΗΤΤΟΣ ΚΑΛΥΚΟΠΟΙΕΙΟ,37.9519671,23.744877,119,17236
17237,ΥΜΗΤΤΟΣ ΠΑΡ.ΑΛΕΞΑΝ,37.9525906,23.7464528,120,17237
17341,ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ,37.9394366,23.7312607,121,17341
17343,ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ ΑΝΟΙΞΗ,37.9395169,23.7318733,122,17343
17455,ΑΛΙΜΟΣ ΚΑΛΑΜΑΚΙ,37.9120426,23.7098513,123,17455
17562,Π.ΦΑΛΗΡΟ,37.9598181,23.6995799,124,17562
17676,ΚΑΛΛΙΘΕΑ ΠΛΑΤΕΙΑ ΚΑΛΛΙΘΕΑ,39.8472531,21.3562946,125,17676
17778,ΤΑΥΡΟΣ,37.9709961,23.6916685,126,17778
18233,ΑΓΙΑ Ι.ΡΕΝΤΗΣ,37.964925,23.6651046,127,18233
18532,ΠΕΙΡΑΙΑΣ,37.9471388,23.6522882,128,18532
18533,ΠΕΙΡΑΙΑΣ ΚΑΣΤΕΛΛΑ,37.9410179,23.6600693,129,18533
18534,ΠΕΙΡΑΙΑΣ ΠΛΑΤΕΙΑ ΑΛΕΞΑΝΔΡ,37.9346387,23.6507774,130,18534
18536,ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ,36.7128404,24.0024888,131,18536
18537,ΠΕΙΡΑΙΑΣ ΑΓΙΑ ΝΙΚΟΛΑΟΣ,37.9383258,23.6398482,132,18537
18538,ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ,37.9349275,23.6320226,133,18538
18539,ΠΕΙΡΑΙΑΣ ΚΑΛΛΙΠΟΛΙΣ,37.9307333,23.6354757,134,18539
18541,ΠΕΙΡΑΙΑΣ ΑΠΟΛΛΩΝΟΣ,37.9528283,23.6661308,135,18541
18545,ΠΕΙΡΑΙΑ ΤΑΜΠΟΥΡΙΑ,37.9553709,23.6352262,136,18545
18546,ΠΕΙΡΑΙΑΣ ΤΑΜΠΟΥΡΙΑ,36.7128404,24.0024888,137,18546
18547,ΠΕΙΡΑΙΑΣ ΝΕΑ ΦΑΛΗΡΟ,37.9485841,23.6595454,138,18547
18648,ΔΡΑΠΕΤΣΩΝΑ,37.9499825,23.6239953,139,18648
18755,ΚΕΡΑΤΣΙΝΙ,37.9548428,23.6185383,140,18755
19001,ΚΕΡΑΤΕΑ,37.8071796,23.9763412,141,19001
19003,ΜΑΡΚΟΠΟΥΛΟ,37.8833564,23.9333037,142,19003
19004,ΣΠΑΤΑ,37.9646408,23.9070776,143,19004
19005,ΑΓΙΑ ΑΝΔΡΕΑ ΖΟΥΜΠΕΡΙ,38.0719123,23.9776308,144,19005
19009,ΠΙΚΕΡΜΙ ΜΑΤΙ,38.0497254,23.9786851,145,19009
19013,ΣΑΡΩΝΙΔΑ ΑΝΑΒΥΣΟΣ,37.7186417,23.9172743,146,19013
19200,ΜΑΓΟΥΛΑ,39.3840937,22.933412,147,19200
19500,ΛΑΥΡΙΟ,37.714177,24.0576632,149,19441
21100,ΝΑΥΠΛΙΟ,37.5673173,22.8015531,151,19500
23100,ΣΠΑΡΤΗ,37.074461,22.430264,156,20131
24200,ΜΕΣΣΗΝΗ,37.0507794,22.0083727,158,21100
25100,ΑΙΓΙΟ,38.2505451,22.0810942,159,21231
26223,ΠΑΤΡΑ,38.254639,21.7414437,160,21232
26441,ΠΑΤΡΑ,38.2613948,21.7439534,161,22131
26442,ΠΑΤΡΑ,38.2794669,21.7521278,162,22132
